Timestamp,Input Throttle,horizon,dT,dt,Input Roll,Roll P,Roll I,Roll D,Input Pitch,Pitch P,Pitch I,Pitch D,Input Yaw,Yaw P,Yaw I,Yaw D,Altitude,Direction X,Direction Y,Direction Z,Drag X,Drag Y,Drag Z,Vertical Velocity,Roll,Mass
1598614542.7092237,0.0,10.0,0.5,0.5,0.0019270774841308597,-0.14,-0.011,-0.56,-0.0004560861504546161,10.0,1.0,100.0,0.022020229652844097,-10.0,-1.0,-100.0,13847.852019570186,-0.0019568320694620662,-4.1484035722388146e-05,0.9999980845418289,40.86656787532482,-0.8886146445634718,435.5548465965612,-74.85453860388992,-90.01233673095703,4326.12158203125
1598614542.7398593,0.0,10.0,0.5,0.5,0.0019307159423828128,-0.14,-0.011,-0.56,-0.00043859547595162984,10.0,1.0,100.0,0.022100403695563944,-10.0,-1.0,-100.0,13844.85592568235,-0.0019622513322397964,-4.131518592103182e-05,0.9999980739295273,41.01445829540327,-0.8922954179133744,439.4852049955057,-75.22347328365771,-90.01244354248047,4326.12158203125
1598614542.7708132,0.0,10.0,0.5,0.5,0.0019417976379394533,-0.14,-0.011,-0.56,-0.00040886499731216823,10.0,1.0,100.0,0.022173061663084935,-10.0,-1.0,-100.0,13841.818816414336,-0.001967800188458981,-4.089307259701598e-05,0.9999980630432115,41.162381193465485,-0.8959817730226899,443.43553792199094,-75.5923747115617,-90.01254272460938,4326.12158203125
1598614542.8056662,0.0,10.0,0.5,0.5,0.0019251251220703126,-0.14,-0.011,-0.56,-0.0004546889156749734,10.0,1.0,100.0,0.02195959570364319,-10.0,-1.0,-100.0,13840.300261839642,-0.001970862099494463,-4.092770214284808e-05,0.9999980570118665,41.23637731061217,-0.8978275462975656,445.41845449112685,-75.77681290891542,-90.0125961303711,4326.12158203125
1598614542.836637,0.0,10.0,0.5,0.5,0.0019713874816894533,-0.14,-0.011,-0.56,-0.0004119977761923823,10.0,1.0,100.0,0.022356591130161682,-10.0,-1.0,-100.0,13837.264128902694,-0.001977212873133775,-4.0572610786502115e-05,0.9999980444896468,41.3843660009217,-0.9015226888834155,449.39902538167917,-76.14566409090895,-90.01270294189453,4326.12158203125
1598614542.8721647,0.0,10.0,0.5,0.5,0.0019449676513671878,-0.14,-0.011,-0.56,-0.00046014747611865725,10.0,1.0,100.0,0.022073953811346976,-10.0,-1.0,-100.0,13835.747527192696,-0.001980372348657162,-4.068947341165546e-05,0.9999980382329394,41.45839578555169,-0.9033728750432175,451.39709531824656,-76.33007705115678,-90.01274871826172,4326.12158203125
1598614542.9027157,0.0,10.0,0.5,0.5,0.0020006752014160157,-0.14,-0.011,-0.56,-0.00036167254397967375,10.0,1.0,100.0,0.022507695910898455,-10.0,-1.0,-100.0,13832.688933961792,-0.0019871435737521047,-3.990219424788321e-05,0.9999980248321656,41.606508387924116,-0.9070781054183297,455.40864752567967,-76.69887755552764,-90.01286315917969,4326.12158203125
1598614542.9386194,0.0,10.0,0.5,0.5,0.0020071487426757814,-0.14,-0.011,-0.56,-0.0004158534499281227,10.0,1.0,100.0,0.022613822580192743,-10.0,-1.0,-100.0,13829.583465196192,-0.0019942191405849575,-3.968133543445032e-05,0.9999980107557269,41.75468166879311,-0.9107896132375921,459.4406858889605,-77.06764410182149,-90.0129623413086,4326.12158203125
1598614542.9700613,0.0,10.0,0.5,0.5,0.0020381553649902345,-0.14,-0.011,-0.56,-0.00043388783343306604,10.0,1.0,100.0,0.02273530028247719,-10.0,-1.0,-100.0,13826.501434117323,-0.0020017083606526085,-3.964654208731072e-05,0.9999979957938868,41.90291080226153,-0.9145073194582789,463.49321235316904,-77.43637649314901,-90.0130844116211,4326.12158203125
1598614543.0061307,0.0,10.0,0.5,0.5,0.0020190193176269533,-0.14,-0.011,-0.56,-0.0004286713759998772,10.0,1.0,100.0,0.022409360734561852,-10.0,-1.0,-100.0,13824.959441887564,-0.0020055017571787336,-3.956967916628235e-05,0.9999979881964475,41.977026600129406,-0.9163680787191288,465.5269608985472,-77.62072990077095,-90.01315307617188,4326.12158203125
